,Ono_O0,Ono_O3,Ono_Oz,O_O0,O_O3,O_Oz,Oun_O0,Oun_O3,Oun_Oz
0,108.67810630039075,107.15203094482425,108.11856412887573,107.40633086075941,108.62399005889893,108.06924796104613,109.68157911300659,109.0559137280357,109.24063062667847
1,109.3209969997406,108.14631199836731,108.72150492668152,107.13090419769287,108.12211680412292,108.79274797439757,108.22585225105286,109.69791579246521,108.74604606628418
2,108.11588406562805,107.83734393119812,107.4338972568512,104.71727204322815,108.78164076805115,108.10613417625427,107.8478090763092,109.56914710998535,108.30054926872253
3,108.08092594146717,108.00591397285461,108.53536915779114,106.23083901405334,108.22270679473877,108.05878782272521,109.76666188240051,108.62278389930725,106.82055807113647
4,108.91686105728138,107.88503003120422,108.14655303955078,105.74656581878662,107.58998203277588,108.56749296188354,108.27402234077454,107.57266902923584,107.64308214187622
5,108.77865505218506,107.89057517051708,107.98624897003174,105.53540396690369,107.83326601982117,108.9873378276825,108.12362599372864,106.85711884498596,108.16183614730835
6,107.992562055588,108.11933684349094,108.6214919090271,107.73000502586365,108.1622326374054,108.96039795875367,108.94894695281982,107.71274232864391,107.542910337448
7,108.19069695472717,107.87681221961975,107.19751191139221,107.71193814277649,108.12553405761719,107.98810601234436,108.82919883728005,108.18830370903015,107.63499903678894
8,107.53994107246399,107.78361487388611,108.08955478668213,105.30246019363403,108.29337096214294,111.75185108184814,108.15597319602944,108.56585764884949,108.35757184028625
9,107.39312887191772,109.29557299613953,107.93606781959534,105.64724469184875,107.59490489959717,109.8974149227106,109.55619001388573,108.80084681510925,108.55869913101196
10,108.05924773216248,107.82425022125221,107.69881200790405,104.44352293014526,107.75256395339966,109.89167174157558,108.21933722496055,107.47427487373352,107.6100218296051
11,108.7010850906372,108.1715230941777,107.93699812889099,107.5949969291687,107.79828095436096,110.14446806907472,108.67962288856506,108.05283904075623,107.55455088615417
12,106.92526388168335,107.75861310958885,107.91857194900513,106.03453493118286,106.83972525596619,108.67980098724365,108.78561925888039,108.50457286834717,107.85872602462746
13,108.44924402236938,108.38526582717896,108.85096788406372,106.08586192131042,107.68033695220947,109.39685869216919,108.05241107940674,108.27236914634705,107.90868091583252
14,108.24552011489914,107.91185307502747,107.84967494010925,107.10871887207031,106.7279920578003,109.33282780647278,108.77007102966309,107.78973913192749,107.93858790397644
15,107.72783493995667,108.02123093605042,106.99244499206543,106.0393872261011,106.85090804100037,109.43512892723083,110.19841003417969,107.1923668384552,108.95927980407895
16,108.89312481880188,108.02411270141602,107.3815290927887,106.13945198059082,107.69591879844484,110.71463298797607,108.57507991790771,108.42943620681763,108.55379390716553
17,107.68908309936523,106.50480103492737,106.31169199943724,106.83027911186218,107.30711102485839,109.35467004776001,108.17009902000427,107.58703422546387,108.74722623825073
18,108.11265802383423,108.02556920051575,107.76188516616821,107.18071341514587,106.41210389137268,107.42920708656311,108.09836077690125,108.38608407974243,107.57669806480408
19,107.43850898742676,107.73054504394531,107.0389313697815,105.63998889923096,107.12284874915895,109.59869813918704,108.27286100387573,107.21193455836726,107.39907002449036
20,105.97809028625443,107.35964393615723,107.77930212020874,107.91524195671082,108.15471887588319,108.66174912452698,109.47662615776062,107.21992588043213,107.80092477798462
21,106.47915482521012,107.5462121963501,106.44753193855468,106.14153790473938,106.51929807662964,108.71693706512451,108.15619611740112,107.29968476295471,107.83308100700378
22,107.33777809143066,107.84424710273743,107.8642151355707,107.149080991745,106.63692498207092,107.60622286796206,108.21132302284241,107.97481608390808,107.11218404769897
23,107.3699398040776,107.91875314712524,108.00266599655151,106.06495714187622,107.42516303062439,108.32771515846252,108.13182687759445,107.46845579147339,108.32007384300186
24,105.5675220489502,108.22344899177506,108.42647409439087,105.7552440166437,107.77364182472411,108.35756015777588,107.90439081192017,108.07826519012497,107.2997612953186
25,107.73169016838074,107.8864557743077,108.16282892227355,106.1155169010126,106.63352417946044,107.36564493178957,108.21358489990234,106.90109205245926,107.16629600524902
26,106.49082016944885,108.06005883216858,108.94931411743164,106.57035398483276,106.39687108993712,109.46413111686707,108.39661407470703,107.821604013443,108.32579183578491
27,106.95730090141296,109.54929375648499,109.31622982024965,104.63793611526489,107.30989694595337,109.66888785362244,108.14731216430664,107.11122679710388,107.97703194618225
28,109.06375288963318,108.33504796028137,108.5129809379614,106.44583797455198,106.30157089233217,109.77421998977661,108.12564396858215,109.46650505065918,106.90508389472961
29,108.19714188575745,107.70536494255066,108.96387600898743,105.29549479484558,105.60863709449586,108.36806392669314,108.46544194221497,107.81409502029419,107.23096013069153
